iter,n,K,speed
22,16,1000,0.041784391
22,18,1000,0.055502174
22,20,1000,0.079076226
22,22,1000,0.119783572
22,24,1000,0.105925124
22,26,1000,0.167765351
22,28,1000,0.245844462
22,30,1000,0.21953933
22,32,1000,0.317261796
22,34,1000,0.457135078
22,36,1000,0.506468201
22,38,1000,0.8217556
22,40,1000,0.754506289
22,42,1000,0.710094913
22,44,1000,0.929635856
22,46,1000,1.269930173
22,48,1000,1.584449617
22,50,1000,1.656154752
22,52,1000,1.936063923
22,54,1000,2.276342003
22,56,1000,2.702801155
22,58,1000,2.516527691
22,60,1000,3.806634776
22,62,1000,3.433278564
22,64,1000,4.48704858
22,66,1000,4.312406801
22,68,1000,5.44664019
22,70,1000,5.153528555
22,72,1000,6.197187611
22,74,1000,7.400177685
22,76,1000,11.656367675
22,78,1000,9.092805446
22,80,1000,10.75462372
22,82,1000,10.970193539
22,84,1000,12.133261298
22,86,1000,15.757394718
22,88,1000,14.875552242
22,90,1000,15.689952022
22,92,1000,20.058944539
22,94,1000,22.270363222
22,96,1000,24.002881308
22,98,1000,25.429549986
22,100,1000,25.130778952
23,10,1000,0.007456918
23,12,1000,0.01887065
23,14,1000,0.023747076
23,16,1000,0.031108869
23,18,1000,0.060005802
23,20,1000,0.045710037
23,22,1000,0.095353227
23,24,1000,0.169201712
23,26,1000,0.198916811
23,28,1000,0.319246255
23,30,1000,0.247221024
23,32,1000,0.339308933
23,34,1000,0.429384116
23,36,1000,0.526809699
23,38,1000,0.55154191
23,40,1000,0.851077254
23,42,1000,1.004392852
23,44,1000,0.806023801
23,46,1000,1.450888278
23,48,1000,1.553769348
23,50,1000,1.745163185
23,52,1000,1.68633308
23,54,1000,2.377405409
23,56,1000,2.375767509
23,58,1000,3.002153629
23,60,1000,3.940280701
23,62,1000,3.348345349
23,64,1000,4.032367005
23,66,1000,5.222567649
23,68,1000,6.714624606
23,70,1000,6.458612003
23,72,1000,8.28715213
23,74,1000,7.760463724
23,76,1000,9.062730526
23,78,1000,9.720166667
23,80,1000,9.709841739
23,82,1000,12.22227375
23,84,1000,12.737701727
23,86,1000,14.636734139
23,88,1000,17.079676384
23,90,1000,18.916239156
23,92,1000,16.381150297
23,94,1000,21.310738653
23,96,1000,20.591972007
23,98,1000,26.976488831
23,100,1000,27.084236609
24,10,1000,0.00800429
24,12,1000,0.020501208
24,14,1000,0.012866404
24,16,1000,0.023198658
24,18,1000,0.036354243
24,20,1000,0.067488662
24,22,1000,0.057064867
24,24,1000,0.086933993
24,26,1000,0.208399588
24,28,1000,0.148903436
24,30,1000,0.258580038
24,32,1000,0.365865977
24,34,1000,0.437974991
24,36,1000,0.419071911
24,38,1000,0.586070115
