iter,n,K,speed
17,70,1000,4.488890036
17,72,1000,7.670470923
17,74,1000,7.927155171
17,76,1000,9.498431802
17,78,1000,10.960870457
17,80,1000,11.119400586
17,82,1000,10.97780243
17,84,1000,14.345452875
17,86,1000,18.036250489
17,88,1000,20.552694637
17,90,1000,19.871170407
17,92,1000,20.45767409
17,94,1000,21.557867395
17,96,1000,22.858059817
17,98,1000,23.240678518
17,100,1000,26.372483627
18,10,1000,0.014632768
18,12,1000,0.023395603
18,14,1000,0.03422669
18,16,1000,0.045558394
18,18,1000,0.067947424
18,20,1000,0.100144003
18,22,1000,0.082164627
18,24,1000,0.134558429
18,26,1000,0.255187625
18,28,1000,0.179501212
18,30,1000,0.162618871
18,32,1000,0.437297217
18,34,1000,0.479353175
18,36,1000,0.520154243
18,38,1000,0.505245437
18,40,1000,0.811785453
18,42,1000,0.780378957
18,44,1000,1.232838283
18,46,1000,1.712627017
18,48,1000,1.714993639
18,50,1000,1.704700013
18,52,1000,1.632228963
18,54,1000,2.163861924
18,56,1000,2.552823195
18,58,1000,3.101850578
18,60,1000,2.891911341
18,62,1000,3.213909649
18,64,1000,4.050356131
18,66,1000,4.019416221
18,68,1000,5.364591978
18,70,1000,5.641592469
18,72,1000,5.648555843
18,74,1000,6.943821476
18,76,1000,7.784792502
18,78,1000,8.33829327
18,80,1000,9.978000023
18,82,1000,11.264630404
18,84,1000,11.354735458
18,86,1000,12.993117529
18,88,1000,16.810216258
18,90,1000,18.07321942
18,92,1000,20.868226338
18,94,1000,20.548669737
18,96,1000,22.517062724
18,98,1000,21.856127141
18,100,1000,24.409238378
19,10,1000,0.013109572
19,12,1000,0.027066139
19,14,1000,0.026139208
19,16,1000,0.050117839
19,18,1000,0.06283048
19,20,1000,0.049440386
19,22,1000,0.092457462
19,24,1000,0.25363198
19,26,1000,0.177608149
19,28,1000,0.199175293
19,30,1000,0.465709216
19,32,1000,0.327195678
19,34,1000,0.510182922
19,36,1000,0.487231077
19,38,1000,0.817483928
19,40,1000,0.610791545
19,42,1000,0.925002502
19,44,1000,0.875600598
19,46,1000,1.045026609
19,48,1000,1.541154972
19,50,1000,1.462720917
19,52,1000,2.195570539
19,54,1000,1.929158623
19,56,1000,2.325916607
19,58,1000,2.997282318
19,60,1000,3.553729005
19,62,1000,3.977668847
19,64,1000,3.404624899
19,66,1000,4.658337576
19,68,1000,5.310299104
19,70,1000,5.797862515
19,72,1000,5.909207389
19,74,1000,6.607408572
19,76,1000,8.80699505
19,78,1000,8.318510613
19,80,1000,9.903204037
19,82,1000,12.170145533
19,84,1000,12.429536461
19,86,1000,13.344509581
19,88,1000,14.306255253
19,90,1000,18.198426378
19,92,1000,20.881836058
19,94,1000,21.475660377
19,96,1000,22.780204799
19,98,1000,25.988612231
19,100,1000,29.860637595
20,10,1000,0.015584854
20,12,1000,0.023554552
20,14,1000,0.036778048
20,16,1000,0.030783619
20,18,1000,0.053175753
20,20,1000,0.079369473
20,22,1000,0.117378021
20,24,1000,0.148868897
20,26,1000,0.220570344
20,28,1000,0.179008296
20,30,1000,0.33308016
20,32,1000,0.334714084
20,34,1000,0.515357819
20,36,1000,0.517384712
20,38,1000,0.570176477
20,40,1000,0.940042694
20,42,1000,0.576781423
20,44,1000,1.125035257
20,46,1000,1.333170726
20,48,1000,1.755934788
20,50,1000,1.952174885
20,52,1000,2.015834041
20,54,1000,2.644498473
20,56,1000,2.971307929
20,58,1000,2.399245412
20,60,1000,2.997785464
20,62,1000,3.555808028
20,64,1000,4.112717385
20,66,1000,4.678407416
20,68,1000,5.249186715
20,70,1000,5.515389851
20,72,1000,6.236410209
20,74,1000,6.771012887
20,76,1000,7.807595874
20,78,1000,6.767344545
20,80,1000,10.336252649
20,82,1000,9.847936914
20,84,1000,12.303501606
20,86,1000,13.437323788
20,88,1000,15.574777672
20,90,1000,18.337566093
20,92,1000,17.086643641
20,94,1000,20.673517479
20,96,1000,21.750607697
20,98,1000,22.463851992
20,100,1000,22.109664102
21,10,1000,0.009380519
21,12,1000,0.013873512
21,14,1000,0.028042496
21,16,1000,0.043959163
21,18,1000,0.057489427
21,20,1000,0.077712516
21,22,1000,0.083569637
21,24,1000,0.082719368
21,26,1000,0.259790723
21,28,1000,0.154400381
21,30,1000,0.221489306
21,32,1000,0.414713095
21,34,1000,0.415154122
21,36,1000,0.436052311
21,38,1000,0.635670398
21,40,1000,0.567782997
21,42,1000,1.057699575
21,44,1000,0.918009803
21,46,1000,1.187932347
21,48,1000,1.523894277
21,50,1000,1.602778893
21,52,1000,2.05991198
21,54,1000,1.889761469
21,56,1000,2.375900435
21,58,1000,2.563162033
21,60,1000,3.099997864
21,62,1000,3.324845542
21,64,1000,3.585248273
21,66,1000,3.48198599
21,68,1000,4.939364713
21,70,1000,6.3365416
21,72,1000,5.595461733
21,74,1000,7.170944628
21,76,1000,7.131513424
21,78,1000,8.433439474
21,80,1000,8.605997423
21,82,1000,10.994860559
21,84,1000,12.23613153
21,86,1000,13.142973488
21,88,1000,12.491004858
21,90,1000,16.376605043
21,92,1000,16.302358626
21,94,1000,18.702351822
21,96,1000,17.851556062
21,98,1000,21.824482804
21,100,1000,25.943477626
22,10,1000,0.010039584
22,12,1000,0.02072347
22,14,1000,0.016738259
22,16,1000,0.02961878
22,18,1000,0.070467535
22,20,1000,0.059190833
22,22,1000,0.1502605
22,24,1000,0.12782897
22,26,1000,0.124653888
22,28,1000,0.131049732
22,30,1000,0.341186431
22,32,1000,0.311027187
22,34,1000,0.474452861
22,36,1000,0.504628316
22,38,1000,0.675672369
22,40,1000,0.785896373
22,42,1000,0.80358491
22,44,1000,0.9367534
22,46,1000,1.297230584
22,48,1000,1.37213668
22,50,1000,1.6357733
22,52,1000,1.743506875
22,54,1000,2.156434044
22,56,1000,2.620685815
22,58,1000,2.627872275
22,60,1000,3.047431443
22,62,1000,4.410239883
22,64,1000,3.660968383
22,66,1000,5.200182064
22,68,1000,5.306710542
22,70,1000,5.852799233
22,72,1000,5.896576851
22,74,1000,7.76169408
22,76,1000,7.267520275
22,78,1000,8.062903102
22,80,1000,10.342751692
22,82,1000,12.200827748
22,84,1000,10.839654543
22,86,1000,14.176065791
22,88,1000,14.779511234
22,90,1000,18.51742574
22,92,1000,19.304222785
22,94,1000,20.342103958
22,96,1000,21.661884215
22,98,1000,25.012751147
22,100,1000,25.858275739
23,10,1000,0.010372535
23,12,1000,0.008952329
23,14,1000,0.029016479
23,16,1000,0.020365025
23,18,1000,0.036846837
23,20,1000,0.058519754
23,22,1000,0.188918257
23,24,1000,0.094969822
23,26,1000,0.144080246
23,28,1000,0.277785891
23,30,1000,0.192631869
23,32,1000,0.671199132
23,34,1000,0.506836269
23,36,1000,0.425393754
23,38,1000,0.647233997
23,40,1000,0.718866331
23,42,1000,0.989537483
23,44,1000,1.129541414
23,46,1000,1.395717773
23,48,1000,1.395551596
23,50,1000,1.787188173
23,52,1000,2.032207801
23,54,1000,1.954442407
23,56,1000,2.985584226
23,58,1000,2.198958023
23,60,1000,2.909521403
23,62,1000,3.279086266
23,64,1000,4.623488584
23,66,1000,4.614684599
23,68,1000,4.535973071
23,70,1000,5.522622879
23,72,1000,5.865114899
23,74,1000,6.353215619
23,76,1000,7.50676619
23,78,1000,9.184641906
23,80,1000,10.302800105
23,82,1000,10.468828574
23,84,1000,13.004585355
23,86,1000,13.75457265
23,88,1000,14.733501969
23,90,1000,16.470718431
23,92,1000,17.076572839
23,94,1000,21.623346196
23,96,1000,20.405284367
23,98,1000,21.649829249
23,100,1000,26.924757811
24,10,1000,0.01304424
24,12,1000,0.022021603
24,14,1000,0.035216583
24,16,1000,0.044942751
24,18,1000,0.062462399
24,20,1000,0.09310544
24,22,1000,0.152065173
24,24,1000,0.253355388
24,26,1000,0.173700938
24,28,1000,0.105763197
24,30,1000,0.361781135
24,32,1000,0.291535717
24,34,1000,0.465469256
24,36,1000,0.700618084
24,38,1000,0.651657925
